"filename", "language", "HTML", "C++", "YAML", "Markdown", "Dart", "Java Properties", "JSON", "Swift", "XML", "Kotlin", "comment", "blank", "total"
"/Users/omarragab/Projects/kutub_fm/lib/features/book_reader/data/services/transcript_loader.dart", "Dart", 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 1, 3, 19
"/Users/omarragab/Projects/kutub_fm/lib/features/book_reader/domain/entities/reader_sentence.dart", "Dart", 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 1, 3, 15
"/Users/omarragab/Projects/kutub_fm/lib/features/book_reader/presentation/pages/book_reader_screen.dart", "Dart", 0, 0, 0, 0, 821, 0, 0, 0, 0, 0, 57, 83, 961
"/Users/omarragab/Projects/kutub_fm/lib/features/book_reader/presentation/pages/transcript_rich_text_screen.dart", "Dart", 0, 0, 0, 0, 118, 0, 0, 0, 0, 0, 2, 13, 133
"/Users/omarragab/Projects/kutub_fm/lib/features/book_reader/presentation/utils/transcript_text_helper.dart", "Dart", 0, 0, 0, 0, 59, 0, 0, 0, 0, 0, 2, 9, 70
"/Users/omarragab/Projects/kutub_fm/lib/features/book_reader/presentation/viewmodels/book_reader_viewmodel.dart", "Dart", 0, 0, 0, 0, 92, 0, 0, 0, 0, 0, 1, 17, 110
"/Users/omarragab/Projects/kutub_fm/lib/features/book_reader/presentation/widgets/contextual_action_menu.dart", "Dart", 0, 0, 0, 0, 59, 0, 0, 0, 0, 0, 0, 5, 64
"/Users/omarragab/Projects/kutub_fm/lib/features/book_reader/presentation/widgets/interactive_text_paragraph.dart", "Dart", 0, 0, 0, 0, 60, 0, 0, 0, 0, 0, 2, 7, 69
"/Users/omarragab/Projects/kutub_fm/lib/features/home/data/repositories/home_repository_impl.dart", "Dart", 0, 0, 0, 0, 47, 0, 0, 0, 0, 0, 2, 3, 52
"/Users/omarragab/Projects/kutub_fm/lib/features/home/domain/entities/book_entity.dart", "Dart", 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 2, 18
"/Users/omarragab/Projects/kutub_fm/lib/features/home/domain/entities/category_entity.dart", "Dart", 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 2, 12
"/Users/omarragab/Projects/kutub_fm/lib/features/home/domain/repositories/home_repository.dart", "Dart", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 2, 8
"/Users/omarragab/Projects/kutub_fm/lib/features/home/presentation/pages/home_screen.dart", "Dart", 0, 0, 0, 0, 519, 0, 0, 0, 0, 0, 7, 18, 544
"/Users/omarragab/Projects/kutub_fm/lib/features/home/presentation/pages/main_screen.dart", "Dart", 0, 0, 0, 0, 147, 0, 0, 0, 0, 0, 2, 11, 160
"/Users/omarragab/Projects/kutub_fm/lib/features/home/presentation/viewmodels/home_view_model.dart", "Dart", 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 8, 42
"/Users/omarragab/Projects/kutub_fm/lib/features/onboarding/presentation/pages/onboarding_discover_screen.dart", "Dart", 0, 0, 0, 0, 339, 0, 0, 0, 0, 0, 15, 20, 374
"/Users/omarragab/Projects/kutub_fm/lib/features/podcast/data/podcast_mock_data.dart", "Dart", 0, 0, 0, 0, 76, 0, 0, 0, 0, 0, 0, 2, 78
"/Users/omarragab/Projects/kutub_fm/lib/features/podcast/domain/entities/podcast_comment.dart", "Dart", 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 4, 39
"/Users/omarragab/Projects/kutub_fm/lib/features/podcast/domain/entities/podcast_episode.dart", "Dart", 0, 0, 0, 0, 48, 0, 0, 0, 0, 0, 0, 4, 52
"/Users/omarragab/Projects/kutub_fm/lib/features/podcast/presentation/pages/podcast_detail_page.dart", "Dart", 0, 0, 0, 0, 142, 0, 0, 0, 0, 0, 5, 13, 160
"/Users/omarragab/Projects/kutub_fm/lib/features/podcast/presentation/pages/podcast_list_page.dart", "Dart", 0, 0, 0, 0, 51, 0, 0, 0, 0, 0, 0, 4, 55
"/Users/omarragab/Projects/kutub_fm/lib/features/podcast/presentation/providers/podcast_provider.dart", "Dart", 0, 0, 0, 0, 65, 0, 0, 0, 0, 0, 1, 12, 78
"/Users/omarragab/Projects/kutub_fm/lib/features/podcast/presentation/widgets/comment_section.dart", "Dart", 0, 0, 0, 0, 152, 0, 0, 0, 0, 0, 3, 12, 167
"/Users/omarragab/Projects/kutub_fm/lib/features/podcast/presentation/widgets/play_controls.dart", "Dart", 0, 0, 0, 0, 111, 0, 0, 0, 0, 0, 3, 7, 121
"/Users/omarragab/Projects/kutub_fm/lib/features/podcast/presentation/widgets/podcast_card.dart", "Dart", 0, 0, 0, 0, 147, 0, 0, 0, 0, 0, 2, 5, 154
"/Users/omarragab/Projects/kutub_fm/lib/features/profile/data/repositories/profile_repository.dart", "Dart", 0, 0, 0, 0, 60, 0, 0, 0, 0, 0, 5, 5, 70
"/Users/omarragab/Projects/kutub_fm/lib/features/profile/domain/entities/user_profile.dart", "Dart", 0, 0, 0, 0, 69, 0, 0, 0, 0, 0, 2, 6, 77
"/Users/omarragab/Projects/kutub_fm/lib/features/profile/presentation/pages/edit_profile_screen.dart", "Dart", 0, 0, 0, 0, 276, 0, 0, 0, 0, 0, 5, 16, 297
"/Users/omarragab/Projects/kutub_fm/lib/features/profile/presentation/pages/profile_screen.dart", "Dart", 0, 0, 0, 0, 337, 0, 0, 0, 0, 0, 11, 27, 375
"/Users/omarragab/Projects/kutub_fm/lib/features/profile/presentation/pages/settings_screen.dart", "Dart", 0, 0, 0, 0, 187, 0, 0, 0, 0, 0, 6, 13, 206
"/Users/omarragab/Projects/kutub_fm/lib/features/profile/presentation/viewmodels/profile_viewmodel.dart", "Dart", 0, 0, 0, 0, 67, 0, 0, 0, 0, 0, 5, 13, 85
