"filename", "language", "Dart", "Python", "JSON", "HTML", "YAML", "C++", "XML", "Swift", "Markdown", "Kotlin", "comment", "blank", "total"
"/Users/omarragab/Projects/kutub_fm/lib/features/home/presentation/pages/special_collections_screen.dart", "Dart", 357, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 14, 378
"/Users/omarragab/Projects/kutub_fm/lib/features/home/presentation/viewmodels/home_view_model.dart", "Dart", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"/Users/omarragab/Projects/kutub_fm/lib/features/onboarding/presentation/pages/onboarding_discover_screen.dart", "Dart", -261, 0, 0, 0, 0, 0, 0, 0, 0, 0, -12, -17, -290
"/Users/omarragab/Projects/kutub_fm/lib/features/podcast/domain/entities/podcast_episode.dart", "Dart", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"/Users/omarragab/Projects/kutub_fm/lib/features/podcast/presentation/pages/podcast_detail_page.dart", "Dart", 296, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 16, 326
"/Users/omarragab/Projects/kutub_fm/lib/features/podcast/presentation/pages/podcast_list_page.dart", "Dart", 362, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 10, 386
"/Users/omarragab/Projects/kutub_fm/lib/features/podcast/presentation/providers/podcast_provider.dart", "Dart", 96, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 10, 109
"/Users/omarragab/Projects/kutub_fm/lib/features/podcast/presentation/widgets/podcast_card.dart", "Dart", -21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -21
"/Users/omarragab/Projects/kutub_fm/lib/features/profile/data/repositories/profile_repository.dart", "Dart", 103, 0, 0, 0, 0, 0, 0, 0, 0, 0, -4, 13, 112
"/Users/omarragab/Projects/kutub_fm/lib/features/profile/domain/entities/user_profile.dart", "Dart", 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 48
"/Users/omarragab/Projects/kutub_fm/lib/features/profile/presentation/pages/edit_profile_screen.dart", "Dart", 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, -3, 1, 24
"/Users/omarragab/Projects/kutub_fm/lib/features/profile/presentation/pages/profile_screen.dart", "Dart", 842, 0, 0, 0, 0, 0, 0, 0, 0, 0, -5, -8, 829
"/Users/omarragab/Projects/kutub_fm/lib/features/profile/presentation/pages/settings_screen.dart", "Dart", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3
"/Users/omarragab/Projects/kutub_fm/lib/features/profile/presentation/viewmodels/profile_viewmodel.dart", "Dart", 108, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 111
"/Users/omarragab/Projects/kutub_fm/lib/features/profile/presentation/widgets/profile_widgets.dart", "Dart", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10
"/Users/omarragab/Projects/kutub_fm/lib/features/radio/data/datasources/firebase_fm_radio_data_source.dart", "Dart", 106, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 127
"/Users/omarragab/Projects/kutub_fm/lib/features/radio/data/models/fm_station_model.dart", "Dart", 202, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 221
"/Users/omarragab/Projects/kutub_fm/lib/features/radio/data/radio_browser_service.dart", "Dart", -46, 0, 0, 0, 0, 0, 0, 0, 0, 0, -5, -7, -58
"/Users/omarragab/Projects/kutub_fm/lib/features/radio/data/repositories/fm_radio_repository_impl.dart", "Dart", 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 34
"/Users/omarragab/Projects/kutub_fm/lib/features/radio/domain/fm_station.dart", "Dart", -16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, -18
"/Users/omarragab/Projects/kutub_fm/lib/features/radio/domain/repositories/fm_radio_repository.dart", "Dart", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6
"/Users/omarragab/Projects/kutub_fm/lib/features/radio/presentation/pages/fm_radio_screen.dart", "Dart", 331, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 5, 355
"/Users/omarragab/Projects/kutub_fm/lib/features/radio/presentation/pages/fm_station_detail_screen.dart", "Dart", -140, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, -9, -137
